Measurenent,Id_sensor,Number_data,Temperature,Humidity,Soil_humidity,Rssi
1,1,1,30.1,68.0,0.0,-86
2,2,1,28.3,71.0,0.0,-89
3,1,2,30.1,65.0,0.0,-78
4,2,2,28.2,72.0,0.0,-90
5,2,3,26.8,74.0,0.0,-87
6,1,3,32.1,59.0,0.0,-78
7,2,4,26.8,74.0,0.0,-89
8,1,4,31.0,63.0,0.0,-79
9,1,5,29.2,67.0,0.0,-78
10,2,5,24.9,78.0,0.0,-89
11,2,6,26.0,78.0,0.0,-89
12,1,6,29.5,68.0,0.0,-78
13,1,7,28.9,70.0,0.0,-80
14,2,7,25.1,79.0,0.0,-87
15,1,8,32.0,64.0,0.0,-77
16,2,8,27.2,76.0,0.0,-88
17,1,9,31.4,63.0,0.0,-79
18,2,9,27.1,71.0,0.0,-88
19,1,10,31.1,67.0,0.0,-77
20,2,10,26.9,77.0,0.0,-89
21,2,11,26.5,78.0,0.0,-90
22,1,11,31.2,67.0,0.0,-79
23,1,12,29.7,69.0,0.0,-78
24,2,12,26.7,78.0,0.0,-91
25,2,13,24.2,87.0,0.0,-94
26,1,13,27.1,77.0,0.0,-79
27,1,14,25.7,81.0,0.0,-79
28,2,14,24.1,88.0,0.0,-93
29,1,15,24.4,87.0,0.0,-79
30,2,15,23.6,89.0,12.2,-95
31,1,16,23.9,89.0,11.9,-80
32,2,16,23.0,90.0,25.4,-98
33,1,17,23.5,91.0,26.3,-81
34,2,17,22.3,94.0,43.7,-99
35,1,18,23.1,93.0,47.4,-81
36,2,18,22.3,93.0,56.2,-97
37,1,19,22.8,92.0,57.3,-79
38,2,19,21.4,94.0,77.59,-94
39,2,20,21.5,93.0,77.25,-94
40,1,20,22.4,94.0,76.06,-82
41,2,21,20.8,93.0,75.91,-96
42,1,21,22.1,95.0,69.29,-83
43,1,22,22.1,95.0,66.60,-86
44,2,22,20.7,93.0,64.67,-93
45,2,23,20.8,93.0,62.81,-91
46,1,23,22.2,94.0,58.56,-91
47,1,24,22.0,94.0,56.65,-88
48,2,24,20.3,93.0,54.74,-89
49,1,25,21.5,94.0,48.95,-89
50,2,25,20.3,93.0,48.60,-88
51,2,26,19.9,93.0,48.09,-88
52,1,26,21.2,94.0,47.89,-95
53,2,27,19.4,93.0,47.39,-88
54,1,27,21.1,94.0,41.98,-93
55,2,28,19.0,93.0,41.14,-88
56,1,28,20.6,93.0,36.49,-96
57,2,29,19.2,93.0,35.21,-87
58,1,29,20.5,93.0,29.96,-95
59,1,30,20.5,93.0,29.31,-95
60,2,30,19.0,93.0,24.37,-86
61,2,31,19.3,93.0,23.37,-86
62,1,31,20.4,93.0,23.30,-92
63,2,32,19.1,93.0,16.99,-86
64,1,32,20.1,93.0,15.97,-95
65,2,33,18.7,93.0,14.67,-87
66,1,33,20.1,93.0,14.55,-97
67,1,34,20.4,93.0,13.64,-97
68,2,34,18.9,93.0,12.48,-86
69,2,35,18.7,93.0,12.48,-87
70,1,35,20.0,93.0,11.16,-83
71,2,36,18.5,93.0,7.1,-87
72,1,36,19.8,93.0,5.20,-98
73,2,37,19.3,93.0,4.65,-87
74,1,37,20.5,93.0,3.72,-97
75,1,38,22.5,95.0,1.65,-89
76,2,38,20.6,93.0,0.0,-90
77,1,39,24.5,88.0,0.0,-85
78,2,39,22.2,95.0,0.0,-93
79,2,40,22.3,95.0,0.0,-96
80,1,40,26.1,83.0,0.0,-83
81,2,41,24.8,85.0,0.0,-93
82,1,41,28.6,77.0,0.0,-83
83,1,42,31.3,68.0,0.0,-82
84,2,42,27.5,75.0,0.0,-93
85,1,43,34.4,59.0,0.0,-79
86,2,43,32.4,68.0,0.0,-90
87,2,44,33.0,62.0,0.0,-88
88,1,44,38.1,52.0,0.0,-79
89,1,45,33.4,58.0,0.0,-80
90,2,45,28.6,69.0,0.0,-88
91,2,46,31.5,62.0,0.0,-86
92,1,46,38.0,47.0,0.0,-80
93,1,47,38.2,45.0,0.0,-80
94,2,47,32.1,61.0,0.0,-87
95,1,48,37.3,45.0,0.0,-80
96,2,48,31.0,62.0,0.0,-88
97,2,49,29.4,66.0,0.0,-87
98,1,49,35.2,50.0,0.0,-86
99,1,50,39.2,42.0,0.0,-82
100,2,50,31.2,63.0,0.0,-88
101,1,51,42.5,37.0,0.0,-81
102,2,51,31.9,58.0,0.0,-89
103,1,52,40.7,38.0,0.0,-80
104,2,52,31.8,63.0,0.0,-88
105,1,53,37.8,44.0,0.0,-83
106,2,53,29.7,66.0,0.0,-88
107,1,54,34.7,52.0,0.0,-83
108,2,54,28.8,68.0,0.0,-90
109,2,55,31.0,61.0,0.0,-88
110,1,55,38.9,42.0,0.0,-80
111,1,56,33.9,53.0,0.0,-81
112,2,56,28.1,70.0,0.0,-90
113,2,57,27.3,72.0,0.0,-88
114,1,57,32.0,59.0,0.0,-80
115,1,58,30.6,65.0,0.0,-79
116,2,58,26.5,78.0,0.0,-92
117,1,59,29.2,71.0,0.0,-79
118,2,59,26.7,79.0,0.0,-94
119,1,60,28.4,74.0,0.0,-79
120,2,60,26.2,82.0,0.0,-99
121,2,61,26.0,85.0,0.0,-84
122,1,61,27.8,77.0,0.0,-75
123,2,62,22.0,91.0,0.0,-77
124,1,62,22.1,90.0,0.0,-71
125,1,63,21.9,93.0,0.0,-77
126,2,63,21.4,92.0,0.0,-82
127,2,64,21.4,93.0,0.0,-85
128,1,64,21.9,94.0,0.0,-84
129,2,65,21.2,93.0,0.0,-89
130,1,65,21.3,94.0,0.0,-85
131,1,66,21.6,94.0,0.0,-99
132,2,66,21.0,94.0,0.0,-89
133,2,67,20.4,93.0,0.0,-91
134,1,67,21.9,93.0,0.0,-97
135,1,68,22.1,93.0,0.0,-101
136,2,68,20.0,93.0,0.0,-92
137,1,69,22.1,94.0,0.0,-96
138,2,69,20.5,93.0,0.0,-86
139,2,70,20.3,93.0,0.0,-99
140,1,70,22.1,93.0,0.0,-88
