Measurenent,Id_sensor,Number_data,Temperature,Humidity,Soil_humidity,Rssi
1,2,1,29.0,72.0,0.0,-72
2,1,1,29.7,67.0,0.0,-64
3,2,2,28.2,72.0,0.0,-72
4,1,2,32.8,61.0,0.0,-62
5,2,3,30.0,69.0,0.0,-72
6,1,3,34.1,61.0,0.0,-62
7,2,4,32.4,59.0,0.0,-75
8,1,4,36.7,52.0,0.0,-64
9,2,5,30.8,65.0,0.0,-71
10,1,5,35.9,51.0,0.0,-62
11,2,6,27.7,69.0,0.0,-72
12,1,6,32.6,59.0,0.0,-60
13,2,7,26.0,77.0,0.0,-74
14,1,7,30.6,65.0,0.0,-61
15,2,8,24.8,80.0,0.0,-74
16,1,8,29.7,67.0,0.0,-63
17,2,9,25.8,77.0,0.0,-77
18,1,9,30.0,68.0,0.0,-62
19,2,10,26.3,77.0,0.0,-72
20,1,10,29.9,67.0,0.0,-61
21,2,11,24.8,83.0,0.0,-72
22,1,11,28.1,73.0,0.0,-62
23,2,12,24.2,84.0,0.0,-72
24,1,12,26.9,77.0,0.0,-64
25,2,13,23.8,86.0,0.0,-69
26,1,13,26.7,78.0,0.0,-65
27,2,14,23.6,86.0,0.0,-70
28,1,14,26.4,78.0,0.0,-65
29,2,15,24.0,85.0,0.0,-69
30,1,15,26.1,80.0,0.0,-64
31,2,16,23.6,89.0,0.0,-69
32,1,16,24.5,85.0,0.0,-64
33,2,17,22.1,95.0,0.0,-70
34,1,17,23.8,88.0,0.0,-63
35,2,18,21.9,94.0,0.0,-70
36,1,18,23.2,91.0,0.0,-64
37,2,19,21.2,94.0,0.0,-71
38,1,19,22.6,95.0,0.0,-64
39,2,20,20.9,93.0,0.0,-71
40,1,20,22.5,94.0,0.0,-64
41,2,21,21.0,94.0,0.0,-72
42,1,21,22.0,95.0,0.0,-63
43,2,22,20.3,93.0,0.0,-72
44,1,22,21.8,94.0,0.0,-63
45,2,23,20.2,93.0,0.0,-73
46,1,23,21.4,94.0,0.0,-63
47,2,24,20.6,93.0,0.0,-73
48,1,24,21.7,94.0,0.0,-63
49,2,25,20.8,93.0,0.0,-74
50,1,25,22.0,95.0,0.0,-63
51,2,26,20.7,93.0,0.0,-74
52,1,26,22.1,95.0,0.0,-63
53,2,27,21.2,94.0,0.0,-74
54,1,27,22.1,95.0,0.0,-63
55,2,28,21.3,94.0,0.0,-73
56,1,28,22.1,95.0,0.0,-63
57,2,29,21.1,94.0,0.0,-74
58,1,29,22.1,95.0,0.0,-62
59,2,30,20.8,93.0,0.0,-74
60,1,30,22.1,95.0,0.0,-63
61,2,31,20.2,93.0,0.0,-74
62,1,31,21.7,94.0,0.0,-62
63,2,32,20.2,93.0,0.0,-74
64,1,32,21.6,94.0,0.0,-62
65,2,33,19.7,93.0,0.0,-72
66,1,33,21.1,94.0,0.0,-60
67,2,34,19.5,93.0,0.0,-74
68,1,34,21.0,94.0,0.0,-62
69,2,35,19.8,93.0,0.0,-73
70,1,35,21.1,94.0,0.0,-61
71,2,36,19.8,93.0,0.0,-74
72,1,36,21.1,94.0,0.0,-61
73,2,37,19.5,93.0,0.0,-75
74,1,37,21.0,94.0,0.0,-62
75,2,38,19.6,93.0,0.0,-76
76,1,38,21.1,94.0,0.0,-62
77,2,39,20.0,93.0,0.0,-75
78,1,39,20.9,93.0,0.0,-63
79,2,40,19.2,93.0,0.0,-75
80,1,40,21.0,94.0,0.0,-63
81,2,41,20.2,93.0,0.0,-76
82,1,41,22.1,95.0,0.0,-64
83,2,42,22.1,95.0,0.0,-76
84,1,42,24.0,93.0,0.0,-65
85,2,43,23.9,87.0,0.0,-73
86,1,43,25.7,86.0,0.0,-64
87,2,44,27.3,78.0,0.0,-73
88,1,44,29.0,78.0,0.0,-65
89,2,45,31.7,65.0,0.0,-75
90,1,45,31.1,70.0,0.0,-64
91,2,46,34.1,62.0,0.0,-73
92,1,46,31.3,69.0,0.0,-64
93,2,47,35.2,58.0,0.0,-72
94,1,47,32.8,64.0,0.0,-64
95,2,48,34.8,58.0,34.14,-76
96,1,48,33.8,58.0,37.69,-64
97,2,49,38.0,43.0,27.17,-74
98,1,49,39.7,45.0,30.25,-64
99,2,50,40.8,44.0,0.0,-70
100,1,50,39.1,42.0,17.34,-65
101,2,51,37.3,41.0,0.0,-70
102,1,51,41.7,37.0,18.19,-64
103,2,52,35.8,45.0,0.0,-70
104,1,52,41.3,33.0,13.72,-64
105,2,53,34.4,48.0,0.0,-71
106,1,53,39.8,39.0,12.52,-63
107,2,54,34.2,48.0,0.0,-76
108,1,54,44.8,30.0,10.6,-67
109,2,55,35.8,45.0,0.0,-78
110,1,55,41.4,33.0,6.32,-66
111,2,56,31.6,56.0,0.0,-74
112,1,56,37.6,40.0,4.05,-62
113,2,57,34.4,48.0,0.0,-71
114,1,57,42.6,34.0,0.0,-64
115,2,58,37.1,44.0,0.0,-68
116,1,58,41.8,33.0,0.0,-59
117,2,59,28.6,65.0,0.0,-67
118,1,59,27.5,72.0,0.0,-59
119,2,60,23.9,83.0,0.0,-67
120,1,60,26.3,78.0,0.0,-57
121,2,61,23.6,86.0,0.0,-71
122,1,61,25.6,79.0,0.0,-67
123,2,62,23.4,87.0,0.0,-73
124,1,62,26.3,83.0,0.0,-67
125,2,63,23.5,89.0,0.0,-75
126,1,63,25.6,84.0,0.0,-67
127,2,64,23.4,90.0,0.0,-74
128,1,64,24.8,87.0,0.0,-68
129,2,65,23.2,90.0,0.0,-75
130,1,65,24.2,89.0,0.0,-67
131,2,66,22.3,92.0,0.0,-74
132,1,66,23.9,91.0,0.0,-66
133,2,67,22.2,93.0,0.0,-74
134,1,67,23.7,92.0,0.0,-64
135,2,68,22.5,92.0,0.0,-76
136,1,68,23.9,91.0,0.0,-64
137,2,69,22.1,95.0,0.0,-67
138,1,69,23.6,93.0,0.0,-64
139,2,70,21.9,94.0,0.0,-72
140,1,70,23.6,93.0,0.0,-64
141,2,71,21.8,94.0,0.0,-74
142,1,71,23.5,93.0,0.0,-64
143,2,72,22.2,95.0,0.0,-75
144,1,72,23.6,94.0,0.0,-64
145,2,73,22.3,95.0,0.0,-74
146,1,73,23.6,94.0,0.0,-64
147,2,74,22.3,94.0,0.0,-71
148,1,74,23.1,94.0,0.0,-65
149,2,75,22.2,95.0,0.0,-72
150,1,75,22.7,95.0,0.0,-66
151,2,76,21.8,94.0,0.0,-73
152,1,76,23.2,94.0,0.0,-65
